index,Tweet,tag
0,And on the other hand...... Bring out your desi swag with #GoodManDiLaaltain!   https://t.co/mFTHkUgSxm  https://t.co/vr7JAuK4sA,1
1,Watch the making of the power-packed #SoormaAnthem here: https://t.co/dtUNU9XtSB @sonypicsprodns @ShankarEhsanLoy  https://t.co/XHfedvBVj7,1
2,"RT @SrBachchan: T 2848 - To SOORMA , my best wishes .. to the director and friend Shaad; to my colleague Taapsee; to a bright talent and ad ",1
3,Piche mere andhera Aage andhi aandhi hai Maine aisi aandhi mein Diya jalaaya hai.....  #SoormaAnthem out now.  Read  https://t.co/9Dgz9uxxDA,1
4,"RT @sonymusicindia: When in love, the anticipation and nervousness is relatable, isn t it? Watch #IshqDiBaajiyaan here: https://t.co/kkbvoo ",1
5,Yaad aa jaye to tera naam leke jhoom lu Shaam aa jaye to uth ke Chaand ka maatha choom lu Ve main saare dukh sehna  https://t.co/XC1SBe0jHx,1
6,The magnificent trio's melody #IshqDiBaajiyaan is spreading love in the air this season. Check out the making of th  https://t.co/Y1ssT4Idvz,1
7,RT @sonymusicindia: Give your callers a soulful treat! Dial the code &amp; set #IshqDiBaajiyan from #Soorma as your caller tune now.  @DiljitDo,1
8,"RT @sonypicsprodns: With its magical melody, #IshqDiBaajiyaan is winning hearts of all! 10 Million views and counting   https://t.co/7MrfXy ",1
9,Ishq di..... baajiyaan..... jeetiyaan.... naa haariyaan     Share the love !!!! #Ishqdibaajiyaan #Soorma https://t.co/o4LGNZYZvQ,1
10,"Come, fall in love with #IshqDiBaajiyaan! My favorite, penned by #Gulzar saab, composed by @ShankarEshanLoy and sun  https://t.co/hfinBDmv6C",1
11,"RT @StarGoldIndia: College sweetheart jiske  Prem  ne kiye hearts break hazaron, lekar aa rahi hai entertainment dugna with #Judwaa2OnStarG ",1
12,Muskuraiye aap Lucknow mein hai   #ShootMode #Mulk #MulkKiPhoto https://t.co/x8BY15eHYj,1
13,@Imangadbedi @StarGoldIndia Wah Bedi! U r very smart!,1
14,Ab bas theatre mein aane ka intezaar rahega! What an endearing trailer            https://t.co/yzJmSyGF9a,1
15,Janamdin aapka khushkismati hum sab ki   #HappyBirthdayBachchanSir @SrBachchan https://t.co/GoEF1gFoJy,1
16,Dussehra ka ENTERTAINMENT hoga kal double! #Judwaa2KiDussehra #Judwaa2 @Varun_dvn @Asli_Jacqueline @foxstarhindi  https://t.co/Y1rB1PNgIO,1
17,RT @foxstarhindi: Dugna fun with #Judwaa2KiDussehra! Book now: https://t.co/Mp5OLL7upP Use code JUDWAA2 @Varun_dvn @Asli_Jacqueline @Taapse,1
18,Celebrations hogayi shuru #Judwaa2KiDussehra ke saath! Book now! https://t.co/zeewLc5Ngd Use code JUDWAA2   https://t.co/4ygn8uu4f3,1
19,Samaara ke saath pagalpanti #Judwaa2In5Days #Judwaa2KiDussehra @Asli_Jacqueline @taapsee @foxstarhindi @NGEMovies https://t.co/5h9Jxg7TSJ,1
20,Aaja band baaja leke aaja... #OonchiHaiBuilding 2.0  #Judwaa2 https://t.co/MhyUkKPKFz,1
21,RT @foxstarhindi: Bappa aur Raja ki jodi aarahi hai kal! #SunoGanpatiBappaMorya song out tom at 10 am @Varun_dvn @Asli_Jacqueline @taapsee,1
22,"Ek baar se dil nahi bharta, mud ke dekho humein dobara! Flying high with tan tana tan tan tan tara #Judwaa2  https://t.co/DjBKsICUiv",1
23,@abhilashthapli AAM land mein toh tha mera birthday! AAM girl is happy girl #ThankYou,1
24,@WardaNadiadwala Block toh bust hone hi wala hai! And we both shall be tan tanaing with it! Thankq so much hotness,1
25,@Varun_dvn Fire cracker toh abhi phatne wala hai cake kha kha ke! Chal dubbing slot diya as return gift. Thankq so  https://t.co/nEH51TLXnT,1
26,@Riteishd Thankq so much! Koshish jaari hai   thanks for always being so encouraging :),1
27,@rajpalofficial Sir woh toh apna saath mein hoga is saal! Thankq so much :),1
28,Another feather in @isro cap!          Aap toh kamaal karte ho! Don't know about this world but in space we r slaying! #SouthAsiaSatellite,1
29,RT @SonyTV: .@BajpayeeManoj  aur @taapsee ke saath lagenge hansi ke thahake aaj raat 9 baje #TheKapilSharmaShow mein.,1
30,"With this #NaamShabana team bids bye to Delhi. Kuch Dino mein phir milte hai, National Security agenda ke saath :) https://t.co/vqZUOF2pz3",1
31,"RT @FFW_Official: @akshaykumar's dailouge  Itne dur se aaya hu, kuch toh karne do  is @taapsee's favorite dialogue. Which one is your favor ",1
32,"RT @PlanC_Studios: Teri haathon ki taraf, mere haathon ka safar, Rozana.  Feel the love with #Rozana. @taapsee @BajpayeeManoj @PrithviOffic ",1
33,"My Dilli ka Launda @Saqibsaleem ab toh picture dekh li hai, tell me if that reminded u of a time when u wanted to elope! #RunningShaadi",1
34,Yesss we shall follow that bhaagti hui advice! #RunningShaadi https://t.co/RI11WZaTY2,1
35,This is it! We are here! Book your tickets and please humaari achi Boni karva do    #RunningShaadi https://t.co/RIThvwwiT2,1
36,@anubhavsinha thankq    box office pe bhi run kar jaye bas!,1
37,@bhawanasomaaya bilkul! Nahi toh idea toh de hi denge hum,1
38,Wohoooooo!!!! Hum aa rahe hai bhagaane!!! #RunningShaadi https://t.co/jXFYQErOmU,1
39,RT @TimesMusicHub: #Trending Tere dukhon ka yun dhadkan pe karz hain..Tere liye chale saanson ka farz hain.. #MainFaraarSa @aroyfloyd - htt,1
40,RT @OYERJALOK: Jummey ki Shaam; Shabana Ke Naam .. #NaamShabanatrailer with @BajpayeeManoj @neerajpofficial @taapsee Tomorrow    #,1
41,Aaj hawa kuch alag chali hai..... https://t.co/pvrQnjpvfk,1
42,"Bada maza aa gaya saare lists dekh ke! @AmitSadh, yaad rakhiyo yeh sab. Kaam ayega #BhaagKeShaadi ke liye.",1
43,@surajbirni40 aapke observation ki daat deti hu.,1
44,@Rakulpreet finally it's a chappar phaad ke moment for me,1
45,@Salilacharya arre ab finally main star ban jaungi na,1
46,Kehte hai a good start is half job done. Help me get a kickstart in 2017 with @running_shaadi  https://t.co/2PLzso1kFL,1
